Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
Conduit,Python," Linux, FreeBSD ",GPL,0.3.17 (2010-01-21),No,,,,,Yes," Synchronizes files, website, network apps"
DirSync Pro,Java,Java SE,GPLv3,1.53 (2018-03-07),Yes,Yes,No,,Yes (creates backup files),Yes (native + via OS)," sym-links, filter, metadata, contents, auto-sync"
FreeFileSync,C++," Windows, OS X, Linux ",GPL,11.0 (2020-07-21),Yes (Donation Edition),Yes,Yes
iFolder," C#, Mono"," Windows, OS X, Linux, Solaris ",GPL,3.8.0.3 (2010-07-19),No,Yes (centralized database)," Yes (files, not folders)",,,,
InterPlanetaryFileSystem,Go,"Windows, OS X, Linux",GPL,0.6.0 (2020-06-19),,Yes,,,No (Planned),,
luckyBackup,C++," Windows, OS X, Linux, FreeBSD ",GPLv3,0.5.0 (2018-11-18),Yes,,,,,Yes,Uses rsync backend
Nextcloud," PHP, C++, JavaScript"," Server: Linux, FreeBSD Clients: Windows, OS X, Linux, FreeBSD, Android, iOS ",AGPLv3,19.0.3 (2020-09-10),yes,yes,yes,Yes,yes,yes,Fork of ownCloud and actively maintained Windows Phone App
OneSync,C#,Windows,GPL,4.0 (2012-02-19),No,Yes,Yes,,,No,
ownCloud community edition," PHP, C++, JavaScript"," Server: Linux, FreeBSDClients: Windows, OS X, Linux, FreeBSD, Android, iOS  ",AGPLv3 (Server Edition) / proprietary (Enterprise Edition),Latest stable software release/ownCloud,yes,yes,yes,Yes,yes,yes," iOS, Android, Blackberry, Win, Mac, Linux Client; external storage support; encryption app; app framework "
Pydio Open source home,"Server: PHP, Python, C++  Clients: JS, C#, Swift, Java","Windows, OS X, Linux, Android, iOS",AGPLv3,8.0.2 (2017-12-13),yes,yes,yes,,yes (Git),yes,
rclone,Go," Windows, Windows, Plan9, Solaris - Intel/AMD-64, Intel/AMD-32, ARM-32, ARM-64, MIPS-Big-Endian, MIPS-Little-Endian ",MIT,1.53.1 (13 September 2020),Yes,Yes,Yes,,,Yes (via OS)," Supports over fifty cloud, protocol and virtual backends including S3 buckets, Google Drive, Microsoft OneDrive, and other high latency file storage. Capabilities include sync, cache, encrypt and mount."
rsync,C in a Unix-Linux shell," Windows, OS X, Linux, BSD ",GPL v3,Latest stable software release/rsync,Yes,No,No,,Yes using the --backup flag and a time-stamped --suffix,Yes (via OS)," client  ; server operation.  Multiple comparison criteria (date, check-sum)."
Seafile community edition," C99, Python "," Server: Linux, Raspbian, WindowsClients: Linux, OS X, Windows, Android, iOS.",AGPLv3 (Server) + Apache License 2.0 (Client),Latest stable software release/Seafile,no,yes,yes,yes,yes,yes (via Seafile Client),Android and iOS mobile clients
SparkleShare,C#," Windows, OS X, Linux, Android, iOS ",GPL v3 and LGPL,2.0.1 (2017-12-22),Yes,Yes,No,,Yes  (Git),,
SymmetricDS,Java,Java SE,GPL,3.9.4 (2018-02-16),Yes,Yes,Yes,,No,Yes,plug-in APIs for customization
Synchronizer (krusader),," Windows, OS X, Linux ",GPL v2,2.6.0 (2017-04-12),No,Yes,No,,No,No,Synchronizer no longer in active development
Syncthing,Go," Windows, OS X, Linux, Android, Solaris ",MPL v2,Latest stable software release/Syncthing,Yes,Yes,Yes,Yes,Yes,Yes,Distributed peer-to-peer sync
Synkron,C++," Windows, OS X, Linux ",GPL v2,1.6.2 (2011-01-25){},Yes,Yes,No,Yes,Yes,Yes,no longer in active development
Unison,Objective CAML,"Windows, OS X, Linux, Unix flavors",GPL v3,2.51.2 (2018-01-27),,Yes,,,,Yes,
Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
