UK,US
accelerator,"gas [pedal], accelerator"
bonnet,hood
boot,trunk
"mudguard, wheel arch, wing",fender
"hood, soft/hard top","convertible top, soft/hard top"
car park,parking lot
driving licence,drivers license
dual carriageway,divided highway
estate car,station wagon
flyover,"overpass, flyover"
gearbox,transmission
hard shoulder,shoulder
"hired car, hire car ","rental car, rental "
"juggernaut, lorry","semi, semi-truck, 18 wheeler, tractor-trailer"
lorry,truck
articulated lorry,"trailer truck, semi"
manual,"stick shift, manual"
motorway,"freeway, highway or expressway"
"pavement, footpath",sidewalk
roadworks,"construction zone, roadwork"
petrol,gasoline or gas
saloon,sedan
shield,bumper
silencer,muffler
spanner,wrench
ticking over,idling
windscreen,windshield
car valeting,auto detailing
