"scope=""col""File system","scope=""col""Host OS","scope=""col""Offline grow","scope=""col""Online grow","scope=""col""Offline shrink","scope=""col""Online shrink"
"scope=""row""FAT16 / FAT16B / FAT16X",misc.,yes,no,yes,no
"scope=""row""FAT32 / FAT32X",misc.,yes,no,yes,no
"scope=""row""exFAT",misc.,no,no,no,no
"scope=""row""NTFS",Windows,yes,yes,yes,yes
"scope=""row""ReFS",Windows,dunno,yes,dunno,no
"scope=""row""HFS+",macOS,no,yes,no,yes
"scope=""row""APFS",macOS,dunno,dunno,dunno,dunno
"scope=""row""HFS+",Linux,no,no,no,no
"scope=""row""SquashFS",Linux,no,no,no,no
"scope=""row""NOVA",Linux,no,no,no,no
"scope=""row""JFS",Linux,yes,no,no,no
"scope=""row""XFS",Linux,no,yes,no,no
"scope=""row""Lustre",Linux,dunno,yes,no,no
"scope=""row""F2FS",Linux,yes,no,no,no
"scope=""row""NTFS",Linux,yes,no,yes,no
"scope=""row""ext2",Linux,yes,no,yes,no
"scope=""row""ext3",Linux,yes,yes,yes,no
"scope=""row""ReiserFS",Linux,yes,yes,yes,no
"scope=""row""Reiser4",Linux,yes,yes,yes,no
"scope=""row""ext4",Linux,yes,yes,yes,no
"scope=""row""Btrfs",Linux,yes,yes,yes,yes
"scope=""row""NILFS",Linux,no,yes,no,yes
"scope=""row""ZFS",misc.,no,yes,no,partial
"scope=""row""JFS2",AIX,dunno,yes,dunno,yes
"scope=""row""UFS2",FreeBSD,yes,yes (FreeBSD 10.0-RELEASE or later),no,no
"scope=""row""HAMMER",DragonflyBSD,dunno,dunno,dunno,dunno
