Symbol,Languages
comment ~ ;," ALGOL 60, SIMULA "
" ¢ ~ ¢,# ~ #, co ~ co,comment ~ comment",ALGOL 68
/* ~ */," ActionScript, Java, kotlin, Rust (can be nested), Scala (can be nested), SAS, SASS, SQL, Swift (can be nested), Visual Prolog, CSS"
#cs ~ #ce,AutoIt
/+ ~ +/,D (can be nested)
/# ~ #/,Cobra (can be nested)
;lt;# ~ # ;gt;,Powershell
=begin ~ =cut,Perl
#`( ~ )," Raku (bracketing characters can be (), , {}, [], any Unicode characters with BiDi mirrorings, or Unicode characters with Ps/Pe/Pi/Pf properties)"
=begin ~ =end,Ruby
" # ~ #, #stop ~ EOF,#iffalse ~ #endif, #ifntrue ~ #endif, #if false ~ #endif, #if !true ~ #endif",S-Lang
{- ~ -},Haskell (can be nested)
(* ~ *)," Pascal, Newspeak, F# "
{ ~ }," Delphi, Object Pascal, Pascal, Red"
# ~ #,Curl
%{ ~ %},MATLAB (the symbols must be in a separate line)
# ~ #," Lisp, Scheme, Racket (can be nested in all three)."
" -- ~ ,--[=[ ~ ]=],--[=...=[ ~ ]=...=]",Lua (brackets can have any number of matching = characters; can be nested within non-matching delimiters)
" ~ ",Smalltalk
(comment ~ ),Clojure
