Grapheme,Quantity,Norwegian,Danish,,
,,,! /V/,/rV/,/Vr/
a,long,[ɑː],[æː],[ʁɑː],[ɑː]
,short,[ɑ]," [a > æ], [ɑ]1)",[ʁɑ],{{IPA|[ɑː]}}
e,long,[eː],[eː],[ʁæː(ɪ̯)]," [eːɐ, ɛːɐ]"
,short,[ɛ] 2),[ɛ]," [ʁa > ʁɑ], [ʁa > ʁaɪ̯] 2)3)",{{IPA|[aɐ]}}
,unstressed,[ə],[ə],[ɐ],{{IPA|[ɐ]}}
i,long,[iː],[iː],[ʁiː],[iːɐ]
,short,[ɪ],"[e], [i]","[ʁæ], [ʁi]",{{IPA|[iɐ]}}
o,long,[uː] 4),[oː],[ʁoː],[oːɐ]
,short,[ɔ] 5)," [ʌ], [ɔ] 6)",[ʁʌ],{{IPA|[ɒː]}}, {{IPA|[o]}}
u,long,[ʉː],[uː],[ʁuː > ʁoː],[uːɐ]
,short," [ʉ], [u]"," [ɔ] 7), [u]"," [ʁɔ] 7), [ʁu > ʁo]",{{IPA|[uɐ]}}
y,long,[yː],[yː],[ʁyː],[yːɐ]
,short,[y]," [ø] 7), [y]"," [ʁœ] 7), [ʁy]",{{IPA|[yɐ]}}, {{IPA|[ɶɐ]}} <sup>8)</sup>
æ,long,[æː] 9),[ɛː],[ʁæː(ɪ̯)],[ɛːɐ]
,short,[æ],[ɛ]," [ʁa > ɑ], [ʁa > ʁaɪ̯] 3)",{{IPA|[aɐ]}}
ø,long,[øː],[øː],[ʁœː],[øːɐ]
,short,[œ],[ø]," [ʁœ], [ʁɶ] 10)",{{IPA|[ɶɐ]}}
å,long,[oː],[ɔː],[ʁɔː],[ɒː]
,short,[ɔ],[ʌ],[ʁʌ],{{IPA|[ɒː]}}
