,Australia Post,Canada Post,DHL Express,FedEx,OnTrac,United States Postal Service,United Parcel Service
Apache OFBiz,No,No,No,No,No,No,No
Batavi (software),No,No,No,No,No,No,No
Bigcommerce,Yes,Yes,No,Yes,No,Yes,Yes
KonaKart,No,No,No,Yes*,No,Yes*,Yes
Magento,No,No,No,No,No,No,No
NopCommerce,No,No,No,No,No,No,No
OsCommerce,No,No,No,No,No,No,No
PrestaShop,via webservice,No,No,No,No,No,No
Sana Commerce,No,No,No,No,No,No,No
Shopify,No,No,No,No,No,No,No
WooCommerce,Yes,Yes,No,No,No,Yes,No
Zen Cart,No,No,No,Yes,Yes,yes with Stamps,Yes
,Australia Post,Canada Post,DHL,FedEx,OnTrac,United States Postal Service,UPS
