Product,Free,License
Apabi Reader (page does not exist),Yes,
Blio,Partial (voices cost),
Bluefire Reader,Yes,Proprietary
DL Reader (page does not exist),Yes,
EBookMobi (page does not exist),No,
Ebook Reader (page does not exist),Yes,Proprietary
I2Reader (page does not exist),No,
IBooks,Yes,Proprietary
Amazon Kindle,Yes,
Kobo eReader,Yes,
KyBook / KyBook 2,Yes," Proprietary, partially OS "
MapleRead,Partial (CX edition is free),
Marvin,Partial (ability to see more than one book in library cost),
MegaReader (page does not exist),No,
ShuBook (page does not exist),Partial,
Lexcycle Stanza,Yes,Proprietary
UBooks XL (page does not exist),Partial Adware,
IBouquiniste (page does not exist),No,
