System,Web page,Mobile web,Email,Command-line interface,Graphical user interface,Representational State Transfer,SOAP,MylynMylyn,Microsoft Visual Studio,IntelliJ IDEA,Others
Apache Bloodhound,Yes,No,Optional[53][54],No,No,No,No,Yes,No,No,Yes XMLRPC
Assembla Tickets,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
Axosoft,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes - IPhone
Bugzilla,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No[55],Yes,Yes XMLRPCXMLRPC
Debbugs,No,No,Yes,Yes,No,No,No,No,No,No,No
Faveo,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes - Android App iOS App
FogBugz,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes XML
Fossil (software),Yes,No,No,Yes,No,No,No,No,No,No,No
FusionForge,Yes,No,No,No,No,No,Yes,No,No,No,No
GLPI,Yes,No,Yes,No,No,Yes,No,No,No,No,No
GNATS,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
HP Quality Center,Yes,No,No,No,Yes[57],Yes,No,Yes[58],No[55]," Yes, via plugin ",Yes]
IBM Rational ClearQuest,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No
IBM Rational Team Concert,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
Jira (software),Yes,Yes[59],Yes,Yes[60],Yes,Yes,Yes,Yes,No[55],Yes," Yes - Android App, iPhone App "
Launchpad (website),Yes,No,Yes,No,No,Yes,No,No,No,No,Yes - Python (programming language)Python (programming language)
Mantis Bug Tracker,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes - Android App
Microsoft Dynamics CRM,Yes,No,Yes,No,No,No,Yes,No,No,No,No
Org-mode,No,No,No,Yes,No,No,No,No,No,No,No
OTRS,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
Phabricator,Yes,No,Yes,Yes,Yes,Yes,No,No,No," Yes, via plugin ",No
Pivotal Tracker,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes," Yes - XML, iOS App "
Redmine,Yes,Yes[62],Yes,Partial [notes 2],No,Yes,No,Yes,No,Yes," Yes - Android App, iOS App "
Request Tracker,Yes,No,Yes,Yes,No,Yes[63],No,No,No,No,No
Roundup (issue tracker),Yes,No,Yes,Yes,No,No,No,No,No,No,Yes XMLRPCXMLRPC
StarTeam,Yes,No,No,No,Yes,No,No,No,Yes,No,No
Supportworks,Yes,No,Yes,No,Yes,Yes[65],No,No,No,No,No
SysAid Technologies,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No
Team Foundation Server,Yes,No,Yes,Yes,No,No,Yes,Yes,No," Yes, via plugin ",No
TestTrack,Yes,No,Yes,No,Yes,No,Yes,No,No,No," Yes - XML, XML "
Trac,Yes,No[66],Optional[53],No,No,No,No,Yes,No,Yes,Yes XMLRPC
Tracker (business software),Yes,No,Yes,No,No,No,No,No,No,No,No
Trello,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No
Tuleap,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Twproject,Yes,No,Yes,No,No,No,No,No,No,No,No
Wrike (software),Yes,No,No,No,No,No,No,No,No," Yes, via plugin ",No
YouTrack,Yes,Yes[67],Yes,No,Yes,Yes,No,Yes[68],No,Yes,No
System,Web page,Mobile Web,Email,Command-line interface,Graphical user interface,Representational State Transfer,SOAP,MylynMylyn,Microsoft Visual Studio,IntelliJ IDEA,Others
