,Union (SQL),Intersect (sql),Except (SQL),Inner join,Outer join,Inner selects,Join (SQL),Binary large object and Binary large object,Common table expressions,Window function (SQL),Parallel Query,Temporal database
4th Dimension (Software),Yes,Yes,Yes,Yes,Yes,No,No,Yes,?,?,?,?
ADABAS,Yes,?,?,?,?,?,?,?,?,?,?,?
Adaptive Server Enterprise,Yes,?,?,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?
Advantage Database Server,Yes,No,No,Yes,Yes,Yes,Yes,Yes,?,No,?,?
Altibase,Yes,Yes," Yes, via MINUS ",Yes,Yes,Yes,Yes,Yes,No,No,No,?
Apache Derby,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,No,No,?,?
Clustrix,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,?
CUBRID,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes[78],?,?
IBM DB2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[115],Yes[116]
Empress database,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?
EXASOL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,?
Firebird (database server),Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?
HSQLDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes[117],Yes,Yes,No,Yes[117],?
H2 (DBMS),Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,experimental[118],Yes[119],?,?
Informix Dynamic Server,Yes,Yes," Yes, via MINUS ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[120],?
Ingres (database),Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,?,?
InterBase,Yes,?,?,Yes,Yes,?,?,Yes,?,?,?,?
Linter SQL RDBMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
LucidDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,?,?
MariaDB,Yes,10.3+[121],10.3+[122],Yes,Yes,Yes,No,Yes,Yes[123],Yes[124],No[125],Yes[116]
MaxDB,Yes,?,?,Yes,Yes,Yes,No,Yes,?,?,?,?
Microsoft Access (JET),Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,?,?
Microsoft Visual Foxpro,Yes,?,?,Yes,Yes,Yes,?,Yes,?,?,?,?
Microsoft SQL Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[126],Yes[127],Yes[116]
SQL Server Compact,Yes,No,No,Yes,Yes,?,No,Yes,No,No,?,?
Mimer SQL,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No,No,?
MonetDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
MySQL,Yes,No,No,Yes,Yes,Yes,No,Yes,8+[128],No,No[125],No[116]
OpenBase,No,No,No,Yes,Yes,Yes,Yes,Yes,?,?,?,?
Virtuoso Universal Server,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,?,Yes,?
Oracle Database,Yes,Yes," Yes, via MINUS ",Yes,Yes,Yes,Yes,Yes,Yes 1,Yes,Yes[129],No[116]
Oracle Rdb,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,?,?,?
Pervasive PSQL,Yes,No,No,Yes,Yes,?,?,Yes,No,No,No,?
Polyhedra DBMS,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,?
PostgreSQL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.4+[130],Yes,Yes[131],No[116]
Raima Database Manager,No,No,No,Yes,Yes,No,No,Yes,No,No,No,?
RDM Server,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,?
SAP HANA,?,?,?,?,?,?,?,?,?,?,?,?
SolidDB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?
SQL Anywhere,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
SQLite,Yes,Yes,Yes,Yes,LEFT only,Yes,No,Yes,3.8.3+[132],3.25+[133],No,No[116]
SQream DB,ALL only,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,?
Teradata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
UniVerse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,?,?
,Union (SQL),Intersect (sql),Except (SQL),Inner join,Outer join,Inner selects,Join (SQL),Binary large object and Binary large object,Common table expressions,Window function (SQL),Parallel Query,Temporal database
