,First public release,,First stable release,,Latest stable release
Client (computing),Date,Version,Date,Version,
AdiIRC,2005,1.0,,," 3.5 (June 30, 2019; 5 months ago (2019-06-30)[30]) [±] "
Bersirc,1999,,,,2.2.14 (12 August 2005; 14 years ago (2005-08-12)) [±]
BitchX,1996,,,," 1.2.1 (November 14, 2014; 5 years ago (2014-11-14)) [±] "
ChatZilla,2001,,,," 0.9.93 (November 8, 2016; 3 years ago (2016-11-08)[31]) [±] "
Colloquy (IRC client),2005,,,," 2.4.3 (6011) (March 22, 2014; 5 years ago (2014-03-22)) [±] "
degesch,2015,0.9,2015,0.9,
DMDirc,2007,,,," 0.7 (January 5, 2013; 6 years ago (2013-01-05)[32]) [±] "
ERC (software),1999?,,,,ERC improvements are now released as part of Emacs. [±]
F-IRC,2006?,0.1,,," 1.36 (February 23, 2014) "
HexChat,2009-10-04,r249,2009-10-09,2.86.0," 2.14.2 (August 29, 2018; 15 months ago (2018-08-29)) [±] "
HydraIRC,2002,,,," 0.3.165 (December 12, 2008; 11 years ago (2008-12-12)) [±] "
IceChat,2002,3.0,2002-04-08,3.0," 9.22 (June 1, 2019; 6 months ago (2019-06-01)) [±] "
IrcII,1990,,,," 20190117 (January 17, 2019; 10 months ago (2019-01-17)) [±] "
IRCjr,2008,,2008,," mTCP_2013-04-26 (April 26, 2013; 6 years ago (2013-04-26)[33]) [±] "
Ircle,1995,,,," 3.5a6 (November 17, 2007; 12 years ago (2007-11-17)) [±] "
Irssi,1999,,,," 1.2.2 (August 29, 2019; 3 months ago (2019-08-29)) [±][34] "
jIRCii,?,?,,,?
KVIrc,1998,0.6.0,1999-12-21,1.0.0," 5.0.0 (January 1, 2019; 11 months ago (2019-01-01)[35]) [±] "
Konversation,2002,,,,1.7.5 (27 June 2018; 17 months ago (2018-06-27)[36]) [±]
LeafChat,?,1.0,,," 2.41 (October 4, 2011; 8 years ago (2011-10-04)) [±] "
LimeChat,2007,,,," Mavericks / Mountain Lion  2.42 (June 22, 2014; 5 years ago (2014-06-22)) [±] Lion  2.38 (September 12, 2013; 6 years ago (2013-09-12)) [±]  "
Linkinus,2007,,,," 2.4.3 (August 23, 2011; 8 years ago (2011-08-23)[37]) [±] "
Mibbit,2008,,,," Web application, no version "
MIRC,1995,,,," 7.58 (November 17, 2019; 29 days ago (2019-11-17)[38]) [±] "
Nettalk (IRC client),2004,,,," 6.7.16 (October 30, 2012; 7 years ago (2012-10-30)[39]) [±] "
Opera (web browser),1996,,,,65.0.3467.72 (12 December 2019; 4 days ago (2019-12-12)[40])
PIRCH (IRC client),1995,,,," 1.0.1.1190 (January 1, 2001; 18 years ago (2001-01-01)) [±] "
PJIRC,2002,,,," 2.2.1 (November 29, 2004; 15 years ago (2004-11-29)) [±] "
Quassel IRC,2008-08-27,0.3.0,,," 0.13.1 (February 18, 2019; 9 months ago (2019-02-18)) [±] "
Qwebirc,2009,0.81,,," 0.92 (February 13, 2012; 7 years ago (2012-02-13)) [±] "
rIRC,2010,Preview Release 1,2012,1.44," 1.4.4 (January 16, 2012) "
Scrollback,2013,,2013,,
Rcirc,?,?,,,rcirc improvements are now released as part of Emacs. [±]
Smuxi,2008-07-29,0.6,2010-09-03,0.8," 1.0.7 (June 18, 2017; 2 years ago (2017-06-18)) [±] "
Snak,1997,,,," 5.3.4 (March 11, 2012; 7 years ago (2012-03-11)[41]) [±] "
Visual IRC,1995,,,," 2.0pl2 (December 30, 2007; 11 years ago (2007-12-30)) [±][42] "
WeeChat,2003,,,," 2.7 (December 8, 2019; 8 days ago (2019-12-08)[43]) [±] "
XChat,1998,,,," 2.8.8 (source) (May 30, 2010; 9 years ago (2010-05-30)) [±] 2.8.9 (windows) (August 28, 2010; 9 years ago (2010-08-28)) [±] "
Client (computing),Date,Version,Date,Version,Latest stable release
First public release,,First stable release,,
