Client (computing),Software developer,Distribution model,Software license,User interface,Programming language
AdiIRC[1],Per Amundsen,Freeware,Proprietary software,GUI,.NET Framework/.NET Framework
Adium,Thijs Alkemade,Free software,GNU General Public License,GUI,Objective-C and Objective-C
Ambassador[2],Isengrim,Free software,Mozilla Public License,GUI[Note 1]," JavaScript, JavaScript "
AndroIRC[3],Madalynn,Freeware,Proprietary software,GUI,?
BersircBersirc," Jamie Frater, Nicholas Copeland ",Free software,GNU Lesser General Public License,GUI,C (Object Pascal originally)
BitchX,Colten Edwards,Free software,BSD licenses," Text user interface, GUI ",C (programming language)
ChatZilla,Mozilla Foundation,Free software," Mozilla Public License, Mozilla Public License, LGPL Mozilla Public License ",GUI[Note 2]," JavaScript, JavaScript "
Colloquy (IRC client)," Timothy Hatcher, Kiji Roshi "," Desktop: free software, mobile: commercial "," BSD licenses: mobile, BSD licenses: desktop ",GUI,Objective-C
ERC (software)," Alexander L. Belikoff, Sergey Berezin ",Free software,GNU General Public License," TUI, GUI ",Emacs Lisp
F-IRC,Folkert van Heusden,Free software,GNU General Public License,TUI,C++
GrumpyChat[5],Petr Bena,Free software,GNU Lesser General Public License,GUI,C++
HexChatHexChat,Berke Viktor,Free software,GNU General Public License," TUI, GUI ",C
IceChatIceChatIceChat,Paul Vanderzee,Free software,GNU General Public License,GUI,C Sharp (programming language) (C Sharp (programming language) until 2004)C Sharp (programming language)
Igloo[10],Jordan Koch,Free mobile application,Proprietary software,GUI,Swift (programming language)
Instantbird,Florian Quèze,Free software,GNU General Public License,Graphical user interface," C/C++, C/C++, C/C++, C/C++ "
IRCCloud[11],IRCCloud Ltd.,Freemium,Proprietary software,Web application," JavaScript frontend, JavaScript backend "
IrcII,Michael Sandrof,Free software,BSD licenses,TUI,C
Ircle,Onno Tijdgat,Commercial 30-day trial,Proprietary software,GUI,C
Irssi,Timo Sirainen,Free software,GNU General Public License,TUI,C
KiwiIRC,Darren Whitlen,Free software,Affero General Public License,Web application," JavaScript frontend, Node.js backend "
KVIrc,Szymon Stefanek,Free software,GNU General Public License,GUI,C++
Konversation,KDE,Free software,GNU General Public License,GUI,C++
LeafChatLeafChat,Samuel Marshall,Free software,GNU General Public License,GUI,Java
LimeChat[13][14][15],Satoshi Nakagawa,Free software,GNU General Public LicenseGNU General Public License,GUI,RubyCocoa (2007–2010)RubyCocoaRubyCocoa RubyCocoa(2010–)RubyCocoa
Linkinus,Conceited Software," Commercial, 15-day trial ",Proprietary software,GUI,Objective-C
Mibbit,Jimmy Moore,Web banner,Proprietary software,Web application," JavaScript frontend, Java backend "
MIRC,Khaled Mardam-Bey,Shareware 30-day trialShareware,Proprietary software,GUI,C/C++ (Borland C++ originally)Borland C++
Monochrome[20],Peter Pawlowski,Freeware,GPLv2,GUI,C#
Nettalk (IRC client),Nicolas Kruse,Freeware,Apache license 2.0,GUI,Visual Basic
Opera (web browser) (until version 12.xx) Opera (web browser),,Freeware,Proprietary software,GUI[Note 4],C++
Pidgin (software),,Free software,GNU General Public License,GUI,C
PIRCH (IRC client),,Shareware,Proprietary software,GUI,Delphi
PJIRC,Philippe Detournay,Free software,GNU General Public License,GUI,Java
Quassel IRC," Manuel Nickschas, Marcus Eggenberger, Alexander von Renteln ",Free software,GNU General Public License," TUI[Note 5], GUI[Note 6] ",C++
Qwebirc,Chris Porter,Free software,GNU General Public License,Web application," JavaScript front end, Python (programming language) backend "
Rcirc,Ryan Yeske,Free software,GNU General Public License,TUI,Emacs Lisp
Smuxi,Mirco Bauer,Free software,GNU General Public License," GUI, TUI, server[Note 6] ",C#
Snak,Kent Sorensen,Commercial,Proprietary software,GUI,?
Mozilla Thunderbird,Mozilla Foundation,Free software,Mozilla Public License 2.0,GUI," C (programming language), C (programming language), C (programming language) "
Visual IRC,Jesse McGrew,Free software,GNU General Public License,GUI,Delphi
WeeChat,Sebastien Helleu,Free software,GNU General Public License," TUI, GUI[Note 7] ",C
XChat (evolved into HexChat)XChat,Peter Železný," Unix/Linux: free software; Windows: commercial, 30-day trial[21] (HexChat is free of charge)  ",GNU General Public License; or GNU General Public License for Windows," TUI, GUI ",C
Client,Primary developers,Distribution model,Software license,User interface,Programming language
