Server,Developed by,Software license,Last stable version,Latest release date
AOLserver,NaviSoft,Mozilla Public License,4.5.2,2012-09-19
Apache HTTP Server,Apache Software Foundation,Apache License,2.4.41,2019-08-14
Apache Tomcat,Apache Software Foundation,Apache,9.0.21,2019-06-07
Boa (web server),Jon Nelson and Larry Doolittle,GNU GPL,0.94.13,2002-07-30 (discontinued)
Caddy (web server),Matt Holt,Apache,1.0.0,2019-04-24
Caudium (web server),The Caudium Group,GNU GPL,1.4.18,2012-02-24
Cherokee (Webserver),Álvaro López Ortega,GNU GPL,1.2.103,2013-04-21
GlassFish," ""Oracle Corporation (initial code from Oracle Corporation)"" ",Common Development and Distribution License &amp; Common Development and Distribution License,5.1,2019-01-28
H2O (web server) (page does not exist),Kazuho Oku,MIT,2.2.6,2019-08-13
Hiawatha (web server),Hugo Leisink,GNU GPLv2,10.9,2019-02-18
HTTP File Server,Rejetto,GNU GPL,2.3i,2016-06-14
IBM HTTP Server,IBM,Non-free Proprietary software,9.0.0,2016-03-11
Internet Information Services,Microsoft,Non-free proprietary,10.0.17763.1,2018-10-02
Jetty (web server),Eclipse Foundation,Apache,9.4.18,2019-04-29
Jexus,Bing Liu,Non-free proprietary,5.5.2,2014-04-27
Lighttpd,Jan Kneschke (Incremental),BSD licenses variant,1.4.54,2019-05-27
LiteSpeed Web Server,LiteSpeed Technologies,Non-free proprietary,5.3.7,2019-03-15
Mongoose (web server),Cesanta Software,GNU General Public License / proprietary license,6.14,2019-03-04
Monkey HTTP Server,Monkey Software,Apache License,1.6.9,2016-05-04
NaviServer,Various,Mozilla 1.1,4.99.18,2019-02-24
NCSA HTTPd,Robert McCool,Non-free proprietary,1.5.2a,1996-10-08
Nginx," NGINX, Inc. ",BSD licenses variant,1.16.1,2019-08-13
Virtuoso Universal Server,OpenLink Software,GNU GPL and proprietary versions,7.2.5.1,2018-10-22
Oracle HTTP Server,Oracle Corporation,Non-free proprietary,12.1.2,2014-09-23
Oracle iPlanet Web Server,Oracle Corporation,BSD licenses,7.0.23,2016-02-12
Oracle WebLogic Server,Oracle Corporation (formerly Oracle Corporation),Non-free proprietary,12cR3 (12.1.3),2014-06-26
Resin Server,Caucho Technology,GNU General Public License / proprietary license,4.0.57,2018-07-19
Resin Server,Caucho Technology,Non-free proprietary,4.0.49,2016-10-19
Thttpd,Jef Poskanzer for ACME Laboratories,BSD licenses variant,2.27,2014-10-03
TUX web server,Ingo Molnár,GNU GPL,3.2.6.18,2006-09-20
Wakanda (software),Wakanda,GNU Affero General Public License / proprietary license,2.1.0,2017-07-27
WEBrick,Ruby Community,Ruby License,1.9.3 p286 (Ruby),2012-10-12
Xitami,IMatix Corporation,BSD licenses,5.0a0,2009-02-19
Yaws (web server),Claes Wikström,BSD licenses variant,2.0.4,2016-09-22
Zeus Web Server,Zeus Technology,Non-free proprietary,4.3r5,2010-01-13
Zope,Zope Corporation,Zope Public License,2.13.21,2013-07-16
Server,Developed by,Software license,Last stable version,Latest release date
