BitTorrent client,Graphical user interface,Remote,Command-line interface,Other,Programming language,Based on,IPv6,Micro Transport Protocol
BitComet,Yes,Yes,Partial[35],No,C++,-,Yes,No
BitLord,Yes,No,No,No," Python, C++ ",Libtorrent (Rasterbar),Yes,No
" BitTorrent (software) 5, Mainline ",Yes,No,Partial,No,Python,-,No,No
BitTorrent 6,Yes,Yes,Partial,No,C++,μTorrent,Yes,Yes
Deluge (software),Yes,Yes,Yes,Daemon (computing)," Python, C++ ",Libtorrent (Rasterbar),Yes,Yes[36]
FlashGet,Yes,No,No,No,?,?,No,No
Free Download Manager,Yes,Yes,Partial,No,C++,Libtorrent (Rasterbar),No,No
Frostwire,Yes,No,No,No,Java (programming language),Libtorrent (Rasterbar),No,Yes[37]
KGet,Yes,Yes,Partial[Note 2],No,C++,-,Yes,No
KTorrent,Yes,Yes,Partial,No,C++,-,Yes,Yes[38]
LimeWire,Yes,No,No,No,Java,Libtorrent (Rasterbar),No,No
Miro (software),Yes,No,No,No,C++,Libtorrent (Rasterbar),No,No
MLDonkey,No,Third Party[39],Partial,Telnet,OCaml,-,No,No
ΜTorrent,Yes,Yes,No[40],RESTful Web API[41],C++[42],-,Yes[43],Yes[44]
Opera (web browser),Yes,No,No,No,C++,-,Yes,No
QBittorrent,Yes,Yes,Partial,No," Python, C++ ",Libtorrent (Rasterbar),Yes,Yes[45]
RTorrent,No,Third Party,Yes,SCGI,C++,[libTorrent] (Rakshasa),Yes[46],No
Shareaza,Yes,Yes,Partial,No,C++,-,No,No
Tixati,Yes,Yes,No,Web interface,C++,-,Yes,Yes[47]
Tonido,No,Yes,No,No,C++,Libtorrent (Rasterbar),No,No
Transmission (BitTorrent client),Yes,Yes,Yes," Daemon, JSON-RPC over HTTP remote control API "," C (programming language), C (programming language) ",libtransmission,Yes,Yes[48]
Tribler,Yes,Partial,Partial,No," Python, C++ ",Libtorrent (Rasterbar),No,Yes
Vuze (formerly Azureus),Yes,Yes,Partial," Telnet, XML over HTTP remote control API "," Java, SWT ",-,Yes,Yes[49]
Xunlei,Yes,No,No,remote control over internet[50],C++,-,No,No
BitTorrent client,GUI,Web,CLI,Other,Programming language,Based on,IPv6,μTP
