Name,Creator,First release date,Latest stable version,Latest release date,Software license,Language,Web application framework,CMS extension
AbanteCart Software," Belavier Commerce, LLC ",2011,1.2.15[1],2019-05-13[±],Open Software License 3.0,PHP,Model-View-Controller," integrated, and 3rd party extensions "
Apache OFBiz,Apache Software Foundation,2007,16.11.06[2],2019-08-27,Apache License,Java (programming language),Apache OFBiz," integrated, and 3rd party extensions "
Batavi (software),Batavi,?,1.3[3],2013-11-28,GNU General Public License,PHP,,
Bigcommerce,Bigcommerce Inc,?,Continuous/SaaS,Continuous/SaaS,Proprietary software,PHP,,
OsCommerce,osCommerce and Gary Burton,2019-07-04,1.0.2.0,2019-08-14,GNU General Public License,PHP,Bootstrap (front-end framework) 4,
Drupal Commerce,Drupal Commerce,2011-08-23,2.14[4],2019-08-30[±],GNU General Public License,PHP,,Drupal
KonaKart,DS Data Systems UK Ltd,?,9.0.0.0[5],2019-08-26,GNU LGPL,Java (programming language),,
LemonStand,Limewheel Creative Inc.,?,1.5.52,2011-06-03,Proprietary software,PHP,,
Magento,Varien,2007-08-13,2.3.3[6],2019-10-08[±],Open Software License 3.0,PHP,Zend Framework,
Miva Merchant," Miva, Inc. ",?,9.14,2019-08-07,Proprietary software,MIVA Script,,
NopCommerce,Nop Solutions Ltd,2008-10-23,4.20[7],2019-06-19[±],GNU General Public License,C Sharp (programming language),ASP.NET MVC,
OpenCart,OpenCart Ltd.,1999-05-11,3.0.3.2[8],2019-04-09[±],GNU General Public License,PHP,,
OsCommerce,osCommerce,2000-03,2.3.4.1[9],2017-08-18,GNU GPL,PHP,,
Pimcore,pimcore GmbH,2010,6.2.0[10],2019-09-05[±],BSD Licenses,PHP,SymfonySymfony,Pimcore
PrestaShop,PrestaShop SA,2007-08-15,1.7.6.1[12],2019-08-26[±],Open Software License 3.0,PHP,Model-View-Controller,
ProStores,ProStores Inc.,?,10.3,2011-05-17,Proprietary software,PHP,,
Sana Commerce,Sana Commerce,?,SC v 9.0 [13],2015-02-15,Proprietary software,C Sharp (programming language),ASP.NET WebForms and ASP.NET MVC,
Shopify,Shopify,2006[14],Continuous/SAAS[15],Continuous/SAAS,Proprietary software,Ruby (programming language),Ruby on Rails,
Spree Commerce,Sean Schofield,2007,3.7.3[16],2019-05-14[±],BSD Licenses,Ruby (programming language),Ruby on Rails,
Storehippo,Hippo Innovations P Ltd,2014,Continuous/SAAS,Continuous/SAAS,Proprietary software,Node.js,MEAN (software bundle),
SupaDupa,SupaDupa,?,Continuous/SAAS,Continuous/SAAS,Proprietary software,Ruby (programming language),Ruby on Rails,
UCoz,uCoz Media,?,Continuous/SAAS,Continuous/SAAS,Proprietary software,Perl,,
VirtueMart,Max Milbers and Team,?,3.4.5[17],2019-04-01[±],GNU General Public License,PHP,,Mambo (software) or Mambo (software)
WooCommerce,WooThemes,2011[18],3.4.4[19],2018-07-25,GPL,PHP,,WordPress
Zen Cart,Zen Ventures,2003-06[20],1.5.6b[21],2019-05-27[±],GNU General Public License,PHP,,
,Creator,First release date,Latest stable version,Latest release date,Software license,Language,Web application framework,CMS extension
