Implementation,Secure Remote Password protocolSecure Remote Password protocol,Secure Remote Password protocol-Secure Remote Password protocolSecure Remote Password protocol,Secure Remote Password protocol-Secure Remote Password protocolSecure Remote Password protocol,Pre-shared key-Pre-shared keyPre-shared key,Pre-shared keyPre-shared key,Diffie–Hellman key exchange-Diffie–Hellman key exchange (Diffie–Hellman key exchange)Diffie–Hellman key exchange,Elliptic curve Diffie–Hellman-Elliptic curve Diffie–Hellman (Elliptic curve Diffie–Hellman)Elliptic curve Diffie–Hellman,Kerberos (protocol)Kerberos (protocol),Diffie–Hellman key exchange-ANONDiffie–Hellman key exchange (insecure),Elliptic curve Diffie–Hellman-ANONElliptic curve Diffie–Hellman (insecure)
Botan (programming library),Yes,Yes,Yes,No,Yes,Yes,Yes,No,Disabled by default,Disabled by default
Cryptlib,No,No,No,No,Yes,Yes,No,Unknown,No,No
GnuTLS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Disabled by default,Disabled by default
Java Secure Socket Extension,No,No,No,No,No,No,No,Unknown,Disabled by default in Java 8,Disabled by default in Java 8
LibreSSL,No[98],No[98],No[98],No,No,No,No,No,Yes,Yes
MatrixSSL,No,No,No,Yes,Yes,Yes,No,No,Disabled by default,No
Mbed TLS,No,No,No,Yes,Yes,Yes,Yes,No,No,No
Network Security Services,No[99],No[99],No[99],No[100],No[100],No[100],No[100],No," Client side only, disabled by default[101] ",Disabled by default[102]
OpenSSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[103],Disabled by default[104],Disabled by default[104]
RSA BSAFE Micro Edition Suite,No,No,No,No,No,No,No,No,Disabled by default,Disabled by default
RSA BSAFE SSL-J,No,No,No,No,Yes[105],No,No,No,Disabled by default,Disabled by default
SChannel,No,No,No,No,No,No,No,Yes,No,No
MacOS,No,No,No,No,No,No,No,Unknown,Yes,Yes
WolfSSL,No,No,No,No,Yes,No,Yes[106],No,No,No
Erlang (programming language)/OTP SSL application,Disabled by default,Disabled by default,Disabled by default,Disabled by default,Disabled by default,Disabled by default,No,No,Disabled by default,Disabled by default
Implementation,Secure Remote Password protocolSecure Remote Password protocol,Secure Remote Password protocol-Secure Remote Password protocolSecure Remote Password protocol,Secure Remote Password protocol-Secure Remote Password protocolSecure Remote Password protocol,Pre-shared key-Pre-shared keyPre-shared key,Pre-shared keyPre-shared key,Diffie–Hellman key exchange-Diffie–Hellman key exchange (Diffie–Hellman key exchange)Diffie–Hellman key exchange,Elliptic curve Diffie–Hellman-Elliptic curve Diffie–Hellman (Elliptic curve Diffie–Hellman)Elliptic curve Diffie–Hellman,Kerberos (protocol)Kerberos (protocol),Diffie–Hellman key exchange-ANONDiffie–Hellman key exchange (insecure),Elliptic curve Diffie–Hellman-ANONElliptic curve Diffie–Hellman (insecure)
