,R-tree/R-tree,Hash function,Expression index,Partial index,Reverse index,Bitmap index,GiST,Inverted index,Full text search,Spatial index,Forest of Trees (page does not exist),Duplicate index prevention
4th Dimension (Software),?,Cluster,?,?,?,?,?,?,Yes,?,?,No
ADABAS,?,?,?,?,?,?,?,?,?,?,?,No
Adaptive Server Enterprise,No,No,Yes,No,Yes,No,No,No,Yes,?,?,No
Advantage Database Server,No,No,Yes,No,Yes,Yes,No,No,Yes,?,?,No
Apache Derby,No,No,No,No,No,No,No,No,No[79],?,?,No
Clustrix,No,Yes,No,No,No,No,No,No,No,No,?,No
CUBRID,No,No,Yes[80],Yes[80],Yes,No,No,No,No,No,No,No
IBM DB2,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes[81],?,?,No
Empress database,Yes,No,No,Yes,No,Yes,No,No,No,?,?,No
EXASOL,No,Yes,No,No,No,No,No,No,No,?,?,No
Firebird (database server),No,No,Yes,No,Yes,No,No,No,No[82],?,?,No
HSQLDB,No,No,No,No,No,No,No,No,No,?,?,No
H2 (DBMS),No,Yes,No,No,No,No,No,No,Yes[83],Yes[84],?,No
Informix Dynamic Server,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[85],Yes
Ingres (database),Yes,Yes,Ingres v10,No,No,Ingres v10,No,No,No,?,?,No
InterBase,No,No,No,No,No,No,No,No,No,?,?,No
Linter SQL RDBMSLinter SQL RDBMS,No,Yes temporary indexes for equality joins,Yes for some scalar functions like LOWER and UPPER,No,No,No,No,No,Yes[86],No,No,Yes
LucidDB,No,No,No,No,No,Yes,No,No,No,?,?,No
MariaDB," Aria (storage engine) and Aria (storage engine) tables and, since v10.2.2, Aria (storage engine) tables onlyAria (storage engine) "," MEMORY,[88] InnoDB,5 tables only ",PERSISTENT virtual columns only[89],No,No,No,No,No,Yes[90]," Aria (storage engine) and Aria (storage engine) tables and, since v10.2.2, Aria (storage engine) tables onlyAria (storage engine) ",?,No
MaxDB,No,No,No,No,No,No,No,No,No,?,?,No
Microsoft Access (JET),No,No,No,No,No,No,No,No,No[91],?,?,No
Microsoft Visual Foxpro,No,No,Yes,Yes,Yes2,Yes,No,No,No,?,?,No
Microsoft SQL Server,Spatial Indexes,Yes4,Yes3,Yes,on Computed columns3,Bitmap filter index for Star Join Query,No,No,Yes[92],Yes[93],?,No
SQL Server Compact,No,No,No,No,No,No,No,No,No[94],?,?,No
Mimer SQL,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
MonetDB,No,Yes,No,No,No,No,No,No,No,No,No,No
MySQL,Spatial Indexes[95]," MEMORY, Cluster (NDB), InnoDB,5 tables only ",No[96],No,No,No,No,No," MyISAM tables[97] and, since v5.6.4, InnoDB tables[98] "," MyISAM tables[99] and, since v5.7.5, InnoDB tables[100] ",?,No
Virtuoso Universal Server,Yes,Cluster,Yes,Yes,No,Yes,No,No,Yes,Yes (Commercial only),No,No
Oracle Database,Yes 11,Cluster Tables,Yes,Yes 6,Yes,Yes,No,No,Yes[101],Yes[102],?,Yes[103]
Oracle Rdb,No,Yes,?,No,No,?,No,No,?,?,?,No
Pervasive PSQL,No,No,No,No,No,No,No,No,No,No,No,No
Polyhedra DBMS,No,Yes,No,No,No,No,No,No,No,No,?,No
PostgreSQL,Yes,Yes,Yes,Yes,Yes7,Yes,Yes,Yes,Yes[104],PostGIS[105],?,No
Raima Database Manager,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
RDM Server,No,No,No,Yes,Yes,No,No,No,No,No,No,No
SAP HANA,?,?,?,?,?,?,?,?,?,?,?,No
SolidDB,No,No,No,No,Yes,No,No,No,No,No,No,No
SQL Anywhere,No,No,Yes,No,No,No,No,No,Yes,Yes,?,Yes
SQLite,Yes[106],No,Yes[107],Yes,No,No,No,No,Yes[108],SpatiaLite[109],?,No
SQream DB,?,?,?,?,Yes,?,?,?,?,?,?,No
Teradata,No,Yes,Yes,Yes,No,Yes,No,No,?[110],?,?,No
UniVerse,Yes,Yes,Yes3,Yes3,Yes3,No,No,No,?,Yes[111],?,No
,R-tree/R-tree,Hash function,Expression index,Partial index,Reverse index,Bitmap Index,GiST,Generalized Inverted Index (page does not exist),Full text search,Spatial index,Forest of Trees (page does not exist),Duplicate index prevention
